Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Europe & Central Asia,ECS,5.82830050933357,5.97155051993294,6.18298456827557,6.33118107620459,6.30826314748889,6.31464926518071,6.24240444724775,6.14590495163311,6.28953375488719,6.92581084874168,6.72019671033944,6.55353397994662,6.53927438744083,6.55844168260729,6.6446451127341,6.71011006194233,6.78738647646713,6.70310054471772,6.73658364361958,6.78617026563052,7.92403478470715,7.81938135904635,7.27785617509221
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Europe & Central Asia (excluding high income),ECA,2.77730863649498,3.08628604014319,3.34170147568503,3.47401526780212,3.42970715383221,3.32856554098266,3.41329850863602,3.35725955298373,3.40113499374773,3.87942226890912,3.4637894327729,3.21261542171059,3.20545884891404,3.08523272089006,3.06668285346635,3.00450715117322,3.14344309814822,3.01325592850273,2.9596863645521,3.05442301004123,3.49385499433517,3.58462665150688,2.82795860421579
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,3.11945787539482,3.35855772388435,3.54263977631842,3.52192401197358,3.36492090406885,3.38934566961283,3.38686148109764,3.38568610677492,3.50463052869144,3.91503187520192,3.5449686939714,3.31900023433227,3.35495033773413,3.35690016697771,3.37766578481128,3.32338783734423,3.37417014187668,3.34123621860691,3.41040999304787,3.57989433823694,4.75556178336413,4.41334221907102,4.1896152088349
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,European Union,EUU,6.29820223102185,6.40178589703652,6.56431863353606,6.70567081667856,6.66098923222296,6.72121527788559,6.64063744863729,6.55086911189978,6.77643285510079,7.36626186467581,7.30144563524094,7.21158435995203,7.25982008381308,7.32469226274136,7.33555555892798,7.32196504488988,7.38341943709818,7.35438286624817,7.34555818420429,7.36464259927353,8.26341991167415,8.26070885976057,7.86832500184489
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Fragile and conflict affected situations,FCS,1.36584746750427,1.66584253078934,1.57934796234682,1.75650283072866,1.85169298254254,1.78101507469942,1.651566058025,1.67201212113726,1.55709576516354,1.67760435627845,1.48928211255384,1.40644888646114,1.39701270864703,1.35721375545384,1.23365525846056,1.20080221597419,1.48156972440706,1.41285920711366,1.46425341499119,1.32765957910711,1.51564945724952,1.54328395797183,1.14827554948896
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Heavily indebted poor countries (HIPC),HPC,1.08735944709186,1.20798173218379,1.17591619274407,1.26063343370712,1.25423444717895,1.33190344014176,1.33744673186008,1.37616820079396,1.29744763584554,1.42611017205703,1.33778462001817,1.2550852670996,1.26546910301636,1.27614028859014,1.2981019449734,1.32750792524279,1.39474871704197,1.45714912283285,1.40236054370305,1.45949548671407,1.7010400089664,1.64197454058777,1.45391220062763
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,High income,HIC,5.55776149105261,5.82472718782394,6.05592428258427,6.20416755975304,6.22783300295843,6.24550953670993,6.25874540039365,6.26299600601995,6.45395153133067,7.1223057431919,7.03713535537919,7.09451921357715,7.10558227360053,7.08812057082015,7.25171886283946,7.45224288817859,7.55693889641935,7.48645904848968,7.46698752890974,7.59495115625242,8.99761850957521,8.59382962866723,8.11044813287599
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,IBRD only,IBD,2.15284779335788,2.16162533941273,2.13663891092013,2.20313213935384,2.21130227965579,2.25173427876042,2.30492687928486,2.33607041124404,2.4881129022119,2.72790218870133,2.6255052651768,2.64156506784003,2.70674991308578,2.79566551054418,2.85837049923156,2.94795417268514,2.9127228114774,2.90494437610592,2.87067304106065,2.9167644396291,3.21807418217692,3.11374708558855,3.29880326723666
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,IDA & IBRD total,IBT,2.06194091630432,2.07715803903324,2.0465811213301,2.10981482050303,2.12206607854661,2.16220080128395,2.20566612754542,2.23793008851296,2.3734959071452,2.5985712817276,2.50479514863566,2.52196100138642,2.58737790310883,2.66697134208546,2.71836286239638,2.80035915009198,2.76823455258647,2.7698847554868,2.73744945029599,2.76549304205499,3.05330534173643,2.97159607970668,3.13303505421062
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,IDA blend,IDB,0.885825551481479,0.935503942043246,0.839383325938525,0.83032941467144,0.942528021183888,0.930089483046404,0.841648358266274,0.792448832575137,0.742857906804989,0.771086265627514,0.772227186040412,0.748791135026254,0.86194724985923,0.840755871661869,0.831226290207078,0.926745525524617,0.899481802022659,0.963045826030544,0.938971094993483,0.873295768664816,1.02289213455744,1.08579761035437,1.08412720533957
