Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Afghanistan,AFG,..,..,0.08418062,0.65096337,0.54292566,0.5291841,0.49784002,0.55994755,0.62779975,0.53190351,0.46915731,0.47999981,0.34288675,0.44335932,0.47265697,0.52267277,0.60012972,0.64313394,0.55239552,0.49705607,1.18621242,0.71036398,0.18147056
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Albania,ALB,2.73330545,2.72089767,2.55822611,2.63895035,2.7876544,2.65562892,2.60609818,2.71601963,2.27345061,2.33076763,2.35073113,2.36980104,2.42631125,2.54741931,2.56312561,2.67593837,2.84762025,2.74185801,2.84073949,2.89433575,2.97455955,2.91998744,3.72758842
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Algeria,DZA,2.31351972,2.69560528,2.59086323,2.55061412,2.3477478,2.16108608,2.18395877,2.52639246,2.86780095,3.4677248,3.22398353,3.40776706,4.02772284,3.91591859,4.21865416,4.33925533,3.94321752,3.84453487,3.84471345,3.27598047,3.31185937,2.87333918,1.71663105
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Andorra,AND,3.88115096,3.82370234,3.97611761,3.54889631,3.27483177,3.58344364,2.96214485,2.95692062,3.70078373,4.13392305,5.68869781,5.60742188,4.67067814,4.76766396,4.8130722,4.97208548,5.00518513,5.08694077,5.21907949,5.22278023,6.37670708,6.16799164,5.53698158
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Angola,AGO,0.98097837,1.80684185,1.15548134,1.28335834,1.4713583,1.14204562,1.28968012,1.53876388,1.91652381,2.23769045,1.46826649,1.52542961,1.39434171,1.5071826,1.16797769,1.08924341,1.05520773,1.12824702,0.97981894,1.00303984,1.46055436,1.51676536,1.30711842
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Antigua and Barbuda,ATG,2.50122428,2.92959142,2.80217075,3.01983333,2.6607554,2.48221588,2.17760348,2.01404786,1.87520587,2.03098321,2.77452183,2.73921561,2.71204996,2.75379777,3.14859223,2.93535352,2.75887132,2.61894512,2.81542587,2.49952674,3.58067584,3.06314707,2.85039449
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Argentina,ARG,4.49895144,4.4767065,3.87838697,3.76298237,3.43900657,3.93187881,4.04397869,4.24544716,4.47786331,5.74631262,5.56987906,5.71961212,6.14357281,6.2950058,6.40571356,6.80309105,6.5777607,6.68290806,6.11101341,6.2193737,6.99057627,6.34810066,5.95705795
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Armenia,ARM,0.95468217,1.33908558,1.17184055,1.20635736,1.29411483,1.47841108,1.58640754,1.61389112,1.48813355,1.81169069,1.68628836,1.6728667,1.57816982,1.37565804,1.50548005,1.61020839,1.63735199,1.37250984,1.23468125,1.41167367,2.35673714,2.18868065,1.71535587
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Australia,AUS,5.45143652,5.45680571,5.66308641,5.61926126,5.79416561,5.72175741,5.71296024,5.8701992,5.96531916,6.23710108,6.0919981,6.2522192,6.17619228,5.92386961,6.89110136,7.2235322,7.20443821,7.23039198,7.19087696,7.53765869,7.85286617,7.93791485,7.34881544
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Austria,AUT,6.86705208,6.86088991,6.95735025,7.01927948,7.05908728,7.05110073,7.01176453,6.98812008,7.23871469,7.50799561,7.45021629,7.34409189,7.49027205,7.49345398,7.59864187,7.5736208,7.54772329,7.71547127,7.75579357,7.88670015,8.71023846,9.46212482,8.65631485
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Azerbaijan,AZE,0.86689276,0.80511665,0.73890811,0.7737512,0.86166471,0.89067221,0.8678329,0.90984386,0.86519617,1.13348269,1.01347423,0.94998968,1.11568439,1.06625199,1.13015568,1.30528009,1.16546094,1.00444698,0.88865483,1.06925082,2.32817769,1.48136711,0.95312107
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Bahamas, The",BHS,1.50591624,1.56618142,1.50943291,1.62846565,1.611678,1.58765554,1.65727472,1.80025303,2.08452892,2.34723687,2.36928177,2.37497997,2.31367421,2.59359813,2.53589177,2.32609415,2.71795917,3.57633185,2.79429245,2.87397003,4.37366199,3.51553249,3.99245048
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bahrain,BHR,2.27505612,2.39680648,2.5144496,2.45939231,2.25912499,2.18422818,2.06908512,2.03086805,2.00388288,2.74579287,2.55753851,2.42909908,2.58166146,2.70170784,2.75321245,3.08921409,2.8373127,2.44733834,2.31990647,2.20524931,2.86910701,2.75866771,2.37968802
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bangladesh,BGD,0.50841981,0.38396508,0.47014153,0.48277113,0.48091501,0.45040676,0.47882023,0.48857561,0.44322866,0.43522108,0.47062662,0.4823136,0.46968287,0.4372614,0.4220427,0.38844827,0.4755646,0.50250494,0.48568422,0.36105901,0.35576752,0.38806468,0.34193528
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Barbados,BRB,2.5543673,2.71995711,2.89702082,3.47478461,3.98423481,3.51634121,3.32250285,2.92400503,3.17477036,3.4388876,3.18992829,2.93728137,3.79151535,3.33373475,2.87362003,2.84907889,2.85200191,2.7041471,2.65220022,2.54682422,3.32207417,4.04128695,2.6457088
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Belarus,BLR,4.15422821,4.25791645,4.07934141,4.38554096,4.39936543,4.52236795,3.9855392,3.99474669,3.48282266,3.48038435,3.84921932,3.08841538,3.44369793,3.56868172,3.37288022,3.68674207,4.19298792,3.98054695,3.9000001,4.12526941,4.54088545,4.87342072,4.44357491
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Belgium,BEL,5.96185923,6.13948441,6.13245678,6.78976488,6.99315739,6.8955164,6.80566692,6.77384472,7.26614666,7.84423971,7.7745738,7.83494329,7.99403429,7.99912691,8.03469563,8.26822186,8.31613922,8.3176775,8.32855988,8.08414745,8.72537518,8.49062634,7.9360981
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Belize,BLZ,1.35279799,1.76350856,1.82957494,1.75257611,1.7102828,1.78223765,1.97383273,2.37503958,2.91308498,2.89427853,2.97982311,2.98816276,2.86571932,2.92492223,3.03495717,3.17137766,3.35043669,3.2159059,3.27672195,3.31428432,3.79881597,3.51546001,2.61415029
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Benin,BEN,1.13417935,1.20063126,0.93714452,1.05233788,1.15381396,1.04785359,1.06306994,0.95481884,0.74250972,0.86784607,0.7522946,0.65150005,0.74686456,0.76463026,0.57532531,0.59082586,0.71389222,0.70637327,0.66673458,0.45625761,0.51122105,0.33374113,0.50720674
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bhutan,BTN,3.29712725,3.29277039,3.09706593,2.65240765,2.81644845,2.44967246,2.28304935,2.47752094,2.17638206,2.43460202,2.3471601,2.21770048,2.26811028,2.3066659,2.23058915,2.55167842,2.42386007,2.31912565,2.44134831,2.4829967,3.18623781,2.31712747,2.13837457
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bolivia,BOL,2.43201661,2.61401916,2.60214591,2.75486469,2.53551769,2.7536962,2.61106277,2.7755425,2.70188808,3.15830708,3.05729318,3.02061009,2.9963541,3.26242685,3.69240737,4.30645275,4.4294467,4.44758177,4.79799795,4.89661789,5.80238628,5.88253403,4.61549664
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bosnia and Herzegovina,BIH,4.07377338,4.31801033,4.4219141,5.47854805,5.16201019,4.81401253,4.84716463,5.12106037,5.28242588,6.13346386,6.13426924,6.20625067,6.50727367,6.57830858,6.66444492,6.39630365,6.47960949,6.18360281,6.1210475,6.13385725,6.75351286,6.52639914,5.73453379
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Botswana,BWA,3.2540555,3.50531387,3.76324773,3.60058308,3.4343946,2.86616707,2.79110265,3.12948751,3.66806316,3.41018438,3.60705996,3.60456705,4.09601831,4.15482092,3.99039125,4.13518047,3.83726597,5.01613283,4.14253378,4.37294102,4.48994827,4.82830048,4.30745316
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Brazil,BRA,3.47014546,3.51298475,3.6863513,3.50954437,3.46692538,3.34525418,3.54130626,3.48462701,3.50441861,3.70742011,3.57701325,3.46567941,3.35463309,3.55113959,3.69886327,3.85396719,3.94799495,3.95315194,3.88924217,3.91702151,4.17190552,4.30673981,4.25969172
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Brunei Darussalam,BRN,2.14453936,2.11852527,2.11855745,2.15882659,2.12041497,1.86898351,1.62710452,1.69323945,1.68647766,2.1657393,2.09004593,1.70617342,1.68712533,1.71973145,1.77395678,2.26836538,2.42138696,2.14737701,2.29566693,2.10503411,2.30922484,1.99766231,1.6302222
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Bulgaria,BGR,3.4715004,3.84590173,4.20194769,4.37132454,4.09508371,4.10456991,3.63341045,3.43214798,3.48064542,3.54883742,3.91909194,3.84521842,3.82989573,4.03953886,4.47450733,4.13284254,4.11281013,4.11801386,4.23101759,4.2107811,5.05085564,5.52486372,4.77777004
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Burkina Faso,BFA,0.96129316,0.97162038,1.05799043,0.9801873,1.69977903,1.22285259,1.43097806,1.43212855,1.36111355,1.64177847,1.30630887,1.34620178,1.06450117,1.61236513,1.62685239,1.45618761,2.38693118,2.6879499,2.12523532,2.23602796,2.84514332,2.73058271,2.62870407
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Burundi,BDI,1.46507239,1.69244206,1.5355022,1.35508084,2.3681941,2.06248069,2.36401343,2.46383238,1.5591383,2.08079624,1.9852922,3.47107577,2.66949105,1.54086971,2.78679872,2.4195447,2.23587942,2.01362443,2.0575192,2.27763605,2.1569612,2.22447824,1.58512878
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cabo Verde,CPV,2.75231051,2.69890738,2.71163344,2.66076279,2.5304296,2.30860901,2.53359437,2.73044729,2.23800421,2.54577112,2.58053112,2.61180115,2.79963088,2.78713155,2.77216268,2.89664817,2.76934814,2.55316591,3.10238695,3.24034405,4.64176846,4.58503008,4.16780281
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cambodia,KHM,1.27856123,1.13873184,1.3330735,1.37088227,1.24548018,1.08696556,0.83623242,0.82912254,0.87098134,1.01281023,1.10954452,1.02417195,1.08205044,1.11564887,1.0150677,1.00400126,1.04308498,1.1320188,1.20929301,1.22948682,1.40071249,3.00353575,1.17839336
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cameroon,CMR,0.64510846,0.7802825,0.89175522,0.8576715,0.70553547,0.65208685,0.64810383,0.56892991,0.55071974,0.44800821,0.4063552,0.5729565,0.64008772,0.4803811,0.58977377,0.36383638,0.36593068,0.14120807,0.35133773,0.40687224,0.60675448,0.48882192,0.66833162
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Canada,CAN,6.00886488,6.27896452,6.41558075,6.5905304,6.62396574,6.59897947,6.48794031,6.57450104,6.70112658,7.52285767,7.48326397,7.31292295,7.43784714,7.40494967,7.27883959,7.63076639,7.72722769,7.60926294,7.604599,7.68264532,9.61535835,9.00172424,7.86726427
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Central African Republic,CAF,1.7200942,1.51679921,1.434237,1.54274023,1.4743973,1.03554976,1.22708309,1.27105796,0.84676838,0.73201287,0.57671779,0.41518956,0.62262207,0.98418158,0.71106249,0.45585203,0.59953427,0.72881997,0.68853283,0.81889474,1.22141719,1.26395118,1.49499202
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Chad,TCD,1.59994829,1.42270386,1.61589229,1.33923662,1.47851741,1.10235167,0.76379508,0.81764281,0.61977834,0.70113808,0.64793539,0.60246891,0.65627456,0.83544219,0.94091558,0.72352397,0.64428413,0.52580875,0.46814004,0.51349735,0.55167967,0.73647583,0.92589098
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Chile,CHL,2.50570464,2.58087945,2.7061429,2.77314019,2.72724271,2.605937,2.51085305,2.62537217,2.93340087,3.39756632,3.21233106,3.2064569,3.36484623,3.56203961,3.74321032,4.01006603,4.24912882,4.58157396,4.68868828,4.77255917,5.48000908,5.21842861,5.09029913
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,China,CHN,0.97868848,0.96197265,1.09706461,1.23556411,1.27916729,1.34709895,1.36572993,1.41172099,1.70800281,2.1124301,2.15837073,2.29242587,2.50277305,2.64646387,2.74482822,2.92099118,2.83731437,2.81638408,2.85993624,2.94739079,3.01223373,2.8417747,3.39281297
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Colombia,COL,4.20017815,4.4598279,4.36780405,4.46871901,4.26406574,4.35741234,4.56696033,4.58606243,4.74562693,5.26797438,5.10725737,4.98383522,4.7128706,4.90206432,5.05892658,5.32889223,5.29663372,5.4549818,5.38843489,5.47731161,6.18919849,6.64501476,5.34694386
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Comoros,COM,0.89172548,0.5343321,0.95670593,0.85293937,0.79133189,0.69428998,0.6453765,0.56597984,0.43337327,0.37907231,0.37668347,0.9567222,0.79534382,0.65978307,0.55491424,0.46612623,0.57399994,0.67584765,0.76553828,0.83244753,1.29287672,0.94517165,0.8734315
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Congo, Dem. Rep.",COD,0.06221032,0.10641284,0.10429236,0.22955258,0.2026829,0.20690806,0.21125633,0.21943448,0.25156215,0.30943882,0.38362399,0.34667644,0.51978379,0.46684277,0.51571059,0.62508768,0.53029794,0.39801776,0.48873118,0.55490303,0.63877279,0.64831114,0.72449565
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Congo, Rep.",COG,0.51469523,0.96511757,0.43198308,0.50115985,0.43517572,0.43213499,0.55492193,0.58651859,1.09928632,0.61770952,0.8283878,0.65133953,0.81893653,0.93664998,0.94694966,1.11883152,1.11958003,0.90735477,0.62025368,1.02925241,1.73444974,1.72020531,0.80518568
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Costa Rica,CRI,4.262187,4.24420071,4.5927887,4.62578392,4.37697315,4.26226091,4.58488178,4.63239908,5.06513548,5.57623196,5.80644417,5.70106649,5.503479,5.45445585,5.44291878,5.51982594,5.36528826,5.1788969,5.27453423,5.23799706,5.61917973,5.35382223,4.95363188
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cote d'Ivoire,CIV,0.58689862,0.50978333,0.54329485,0.5154925,0.5599317,0.52909023,0.5577988,0.67966127,0.67955697,0.83744568,0.83997321,0.57983553,0.74607307,0.7278282,0.77760309,0.80445331,0.85302079,0.93267012,0.89862597,0.96328849,1.33183074,1.59011114,1.49067545
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Croatia,HRV,6.50514507,5.89368153,4.85369205,5.12203264,5.19365215,5.8138175,5.84456825,6.38684225,6.40165615,6.65384912,6.63025713,6.25037861,6.30977678,5.44869661,5.51811647,5.5316987,5.54387617,5.49144459,5.53542042,5.53433323,6.28337812,6.79773712,6.16261101
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cuba,CUB,5.50884342,5.6706562,5.72780991,5.64911461,5.4684186,7.43015385,7.08049011,9.8824482,10.29249096,11.28293419,9.70249748,10.06710052,8.06292343,9.1383667,10.95755768,11.57499027,10.94796658,10.2355442,9.77753925,9.86760807,11.3656826,12.62847614,10.47128963
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Cyprus,CYP,2.18027377,2.233531,2.49221182,2.47707176,2.23180842,2.25430155,2.34010673,2.31242609,2.50267649,2.74965072,2.97370887,3.04867911,3.00121903,3.15601254,2.94708562,2.85704303,2.79585361,2.74640369,2.85127211,3.79063916,6.21329498,6.97802401,6.32030439
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Czechia,CZE,5.02878523,5.10241747,5.41353321,5.68778181,5.54793978,5.39933109,5.27117157,5.01941013,5.13391018,6.02147913,6.34771013,6.3153348,6.37927723,6.29084349,6.33035374,6.15198898,6.18802738,6.12094069,6.24047327,6.33127356,7.89175224,7.91902399,7.18070936
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Denmark,DNK,6.74005842,7.04253101,7.28696489,7.4598999,7.50731468,7.59320974,7.67629194,7.78667593,7.95498371,8.97689438,8.92905712,8.72731876,8.88669872,8.69767475,8.70941639,8.74188137,8.65580463,8.49121284,8.49359703,8.52554512,9.01822376,9.00487709,7.99897861
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Djibouti,DJI,1.4098289,1.25085211,1.28561246,1.50298142,1.43785477,1.39653015,1.72493029,1.73417449,1.83015931,1.90362072,1.85621846,2.14218068,1.88866687,1.8059175,1.76028001,1.70769882,1.32919765,1.1462568,1.33991563,1.28569102,1.07290661,0.76665086,1.06819105
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Dominica,DMA,3.36023808,2.57100463,2.43640971,2.70172191,2.57289863,2.79434443,2.69501734,2.52050734,2.61492229,2.67258692,2.95949578,3.15106702,3.48056149,3.28141499,3.21116447,3.25268769,3.33051729,3.76958227,4.10668468,3.33201027,3.79538107,4.03373861,4.50941896
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Dominican Republic,DOM,1.71051323,1.70341122,1.67955506,1.15990651,1.14767253,1.39308929,1.40171933,1.68479145,2.12220812,2.33195949,2.51915145,2.72904515,2.76918435,2.78379869,2.46697044,2.37458324,2.6700182,2.60838318,2.57885528,2.66453695,3.25516009,3.36349916,2.81554079
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Ecuador,ECU,1.00422108,1.32788515,1.49090707,1.74713385,1.8013922,1.7340647,1.86176145,2.17900252,2.18953037,2.55810642,2.98613954,3.15536475,3.52782917,3.86072373,4.15685654,4.49897623,4.62448025,4.63966084,4.99487257,4.91185951,5.27935171,5.314744,4.71747446
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Egypt, Arab Rep.",EGY,1.73206902,1.84800243,1.8990773,1.66768789,1.57912993,1.5893116,1.74427283,1.56855941,1.53611362,1.53461063,1.36768734,1.47460115,1.28014243,1.36696446,1.41039252,1.58139753,1.56636381,1.65595341,1.35182929,1.29722774,1.32617092,1.73679698,1.68629062
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,El Salvador,SLV,3.94314837,3.83341885,4.00326157,3.88919258,4.01650906,4.2482481,4.52057076,4.1049161,4.0889926,4.10507488,4.37232924,4.79892349,4.45448637,4.76325369,4.68769121,4.80888462,4.84736443,4.58291912,4.54387665,4.71487188,5.7965498,6.41989136,6.12128019
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Equatorial Guinea,GNQ,0.52302271,0.39180481,0.36000615,0.39797717,0.35340402,0.40104085,0.45787242,0.48071325,0.48362917,0.76920271,0.64514917,0.59239239,0.70269078,0.61788166,0.65114552,0.7432819,0.86530524,0.78999829,0.81501949,0.8050639,1.0338515,1.14400554,0.86760986
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Eritrea,ERI,2.05245161,1.79195142,2.11955547,1.66898465,1.55933774,0.85298669,0.81826532,1.21488249,1.64659166,1.06634021,1.00715244,0.76524723,0.79066068,0.776559,0.51250237,0.73755044,0.7340641,1.00827622,0.62541473,0.74166143,0.84150839,0.88709611,0.90046018
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Estonia,EST,3.92115879,3.7286675,3.57680702,3.8824501,3.92235065,3.90250659,3.69660807,3.87619781,4.50631046,5.22541809,4.84003878,4.48738861,4.53774357,4.61415815,4.66695023,4.85387135,4.88813353,4.75225782,4.82979679,4.94378757,5.75498247,5.68571281,5.18720722
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Eswatini,SWZ,2.41081047,2.38431859,2.4225831,2.91704059,3.02394485,3.64060426,3.45948696,3.7541039,4.45391893,4.46149063,4.22809029,3.61155891,3.41336322,3.32492328,2.73972297,2.94745016,2.84598303,3.54254961,3.39840841,4.40824461,3.53693056,3.65004921,3.24393272
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Ethiopia,ETH,1.79949319,2.01543713,2.08121943,2.27634907,1.32566774,1.72818744,1.12012815,1.33306754,0.51424927,0.90700704,0.94396317,0.3811754,1.06663179,1.09967208,0.71479559,0.96540898,0.90002954,0.8612687,0.76642609,0.73088509,0.98278511,0.97926205,0.72080112
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Fiji,FJI,2.63133216,2.08654332,2.20177889,2.22326541,2.21771884,2.41684818,2.47551131,2.46818185,2.21144366,2.19237089,2.18311381,1.88993454,1.91403711,1.87162006,2.0661068,2.09847856,2.09586525,2.11070943,2.4660871,2.64242482,3.00008559,3.65724373,3.196064
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Finland,FIN,5.37329912,5.52700138,5.86146975,6.13868189,6.2737546,6.44950962,6.52460337,6.35588789,6.57707214,7.24022865,7.18030024,7.31418705,7.67503309,7.82302523,7.8208828,7.6206398,7.3601203,7.17050409,7.1532836,7.39612961,7.88914347,8.06121445,7.96152925
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,France,FRA,6.99467659,7.0991745,7.36042738,7.36141872,7.4183507,7.42688227,7.41077948,7.34726858,7.42526388,7.98040915,7.81747055,7.76428938,7.8918004,7.99064016,8.07977486,8.23389816,8.61056232,8.6154108,8.49900723,8.33091736,9.25742054,9.25056267,8.90620232
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Gabon,GAB,1.06383789,1.26300132,1.19960451,1.4352864,1.35957062,1.05433261,1.2173816,1.23346996,1.06247222,1.54066849,1.57325745,1.58558345,1.48285842,1.82302928,1.51668847,1.56549394,2.01055074,1.75976336,1.61284041,1.66963005,1.89678836,1.65491903,1.88504732
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,"Gambia, The",GMB,0.6015296,0.61059773,0.54214686,0.5868997,0.78081375,0.81679177,0.88458723,0.70619458,0.7288478,0.9055742,0.91823167,1.04374862,1.20622373,1.08376527,1.09228694,0.99829203,1.2897681,1.06097889,1.04798186,1.28750503,1.9513855,1.28643787,1.54287362
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Georgia,GEO,0.82085949,1.13540304,1.12198305,1.14707553,1.17821777,1.20532346,1.18501794,1.09324026,1.53485286,2.04964566,1.90527785,1.36786854,1.52704597,1.82236254,2.14047027,2.59349322,2.87254119,2.58998537,2.75906873,2.69142175,3.66064787,4.43811321,3.06025243
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Germany,DEU,7.65972042,7.67568636,7.83683252,7.94904518,7.59995461,7.68023539,7.53175783,7.43098545,7.59074497,8.33827019,8.23746395,7.97318602,8.03190994,8.24677086,8.33346176,8.45390797,8.53130817,8.63574028,8.7105999,8.89676571,9.87329006,10.12237358,10.01671791
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Ghana,GHA,0.73089105,0.84126645,0.65024012,0.94345516,0.9509024,1.756845,1.65231752,1.63629603,1.64284575,2.04712129,2.26015067,2.35423017,1.97869766,1.85814357,1.40883136,1.5937829,1.3003906,1.63058531,1.37083328,1.9720608,2.52818918,2.09936643,2.03708911
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Greece,GRC,4.62980747,5.21165657,5.12075806,5.1977067,4.86593294,5.32978392,5.17268229,5.39813805,5.84622145,6.5149498,6.62841225,6.03533649,5.7518816,5.23182106,4.51781511,4.7674284,4.43071413,4.29561758,4.17521954,3.95904088,5.06405878,5.38438177,4.56988621
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Grenada,GRD,1.86039817,2.14943409,2.71163964,2.16133189,2.59474087,2.42088819,2.04412723,2.00870275,1.96291316,2.17009425,2.05670786,2.41611266,2.38694572,2.27822328,2.09314442,1.93493712,1.76571214,1.88796365,1.86524379,2.04134059,2.28805852,2.16806746,1.9978193
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
